LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.420, Time: 2.364852 s
         1506687 function calls (1490005 primitive calls) in 2.886 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    298/1    0.002    0.000    2.886    2.886 {built-in method builtins.exec}
        1    0.000    0.000    2.886    2.886 LebwohlLasher.py:1(<module>)
        1    0.000    0.000    2.390    2.390 LebwohlLasher.py:257(main)
   377500    1.495    0.000    1.495    0.000 LebwohlLasher.py:131(one_energy)
       50    0.312    0.006    1.322    0.026 LebwohlLasher.py:210(MC_step)
       34    0.001    0.000    0.675    0.020 __init__.py:1(<module>)
       51    0.546    0.011    0.551    0.011 LebwohlLasher.py:182(get_order)
       51    0.027    0.001    0.512    0.010 LebwohlLasher.py:165(all_energy)
    360/4    0.002    0.000    0.500    0.125 <frozen importlib._bootstrap>:1349(_find_and_load)
    357/4    0.001    0.000    0.500    0.125 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    342/5    0.001    0.000    0.499    0.100 <frozen importlib._bootstrap>:911(_load_unlocked)
    293/5    0.001    0.000    0.499    0.100 <frozen importlib._bootstrap_external>:1021(exec_module)
    838/9    0.001    0.000    0.498    0.055 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   413/14    0.000    0.000    0.459    0.033 {built-in method builtins.__import__}
   367/67    0.001    0.000    0.416    0.006 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.311    0.311 pyplot.py:1(<module>)
1101/1016    0.011    0.000    0.259    0.000 {built-in method builtins.__build_class__}
      106    0.002    0.000    0.191    0.002 artist.py:158(_update_set_signature_and_docstring)
      105    0.000    0.000    0.188    0.002 artist.py:125(__init_subclass__)
        1    0.000    0.000    0.161    0.161 figure.py:1(<module>)
      120    0.000    0.000    0.149    0.001 artist.py:1832(kwdoc)
      120    0.004    0.000    0.127    0.001 artist.py:1593(pprint_setters)
        1    0.000    0.000    0.124    0.124 image.py:1(<module>)
        1    0.000    0.000    0.115    0.115 backend_bases.py:1(<module>)
     4409    0.009    0.000    0.102    0.000 artist.py:1461(get_valid_values)
     7555    0.046    0.000    0.080    0.000 inspect.py:891(cleandoc)
        1    0.000    0.000    0.074    0.074 text.py:1(<module>)
     7512    0.004    0.000    0.069    0.000 inspect.py:872(getdoc)
        1    0.000    0.000    0.053    0.053 _axes.py:1(<module>)
        1    0.000    0.000    0.052    0.052 rcsetup.py:1(<module>)
      227    0.000    0.000    0.051    0.000 artist.py:1413(__init__)
      227    0.017    0.000    0.050    0.000 artist.py:1433(get_aliases)
      293    0.002    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:1094(get_code)
        1    0.000    0.000    0.047    0.047 patches.py:1(<module>)
        1    0.000    0.000    0.038    0.038 _base.py:1(<module>)
     7004    0.004    0.000    0.037    0.000 __init__.py:330(_compile)
        1    0.000    0.000    0.034    0.034 axes3d.py:1(<module>)
        1    0.000    0.000    0.034    0.034 __config__.py:1(<module>)
      293    0.004    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:783(_compile_bytecode)
        1    0.000    0.000    0.033    0.033 widgets.py:1(<module>)
      227    0.011    0.000    0.033    0.000 artist.py:1511(get_setters)
        1    0.000    0.000    0.033    0.033 collections.py:1(<module>)
      221    0.001    0.000    0.031    0.000 _compiler.py:743(compile)
      293    0.029    0.000    0.029    0.000 {built-in method marshal.loads}
     5929    0.003    0.000    0.029    0.000 __init__.py:174(search)
        9    0.000    0.000    0.027    0.003 _base.py:783(__init_subclass__)
        1    0.000    0.000    0.027    0.027 _arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.027    0.027 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.027    0.027 _fontconfig_pattern.py:1(<module>)
        3    0.000    0.000    0.025    0.008 core.py:1(<module>)
        1    0.000    0.000    0.024    0.024 defmatrix.py:1(<module>)
  128/117    0.000    0.000    0.023    0.000 _docstring.py:122(__call__)
       31    0.002    0.000    0.023    0.001 __init__.py:887(_rc_params_in_file)
        1    0.000    0.000    0.023    0.023 colors.py:1(<module>)
        1    0.000    0.000    0.023    0.023 _linalg.py:1(<module>)
